Title;Year
DEEP REINFORCEMENT LEARNING BASED MOBILE ROBOT NAVIGATION: A REVIEW;2021
EXPERIMENTAL RESEARCH ON DEEP REINFORCEMENT LEARNING IN AUTONOMOUS NAVIGATION OF MOBILE ROBOT;2019
DEEP REINFORCEMENT LEARNING FOR MOBILE ROBOT NAVIGATION;2019
SOCIALLY AWARE ROBOT NAVIGATION USING DEEP REINFORCEMENT LEARNING;2018
MOBILE ROBOT NAVIGATION BASED ON DEEP REINFORCEMENT LEARNING;2019
CONTINUOUS CONTROL WITH DEEP REINFORCEMENT LEARNING FOR MOBILE ROBOT NAVIGATION;2019
DEEP REINFORCEMENT LEARNING BASED MOBILE ROBOT NAVIGATION IN UNKNOWN ENVIRONMENT WITH CONTINUOUS ACTION SPACE;2022
END-TO-END MOBILE ROBOT NAVIGATION USING A RESIDUAL DEEP REINFORCEMENT LEARNING IN DYNAMIC HUMAN ENVIRONMENTS;2022
ASYNCHRONOUS DEEP REINFORCEMENT LEARNING FOR THE MOBILE ROBOT NAVIGATION WITH SUPERVISED AUXILIARY TASKS;2017
OBSTACLE AVOIDANCE NAVIGATION METHOD FOR ROBOT BASED ON DEEP REINFORCEMENT LEARNING;2022
GOAL-ORIENTED NAVIGATION WITH AVOIDING OBSTACLE BASED ON DEEP REINFORCEMENT LEARNING IN CONTINUOUS ACTION SPACE;2021
ENVIRONMENT EXPLORATION FOR MAPLESS NAVIGATION BASED ON DEEP REINFORCEMENT LEARNING;2021
MAPLESS NAVIGATION WITH DEEP REINFORCEMENT LEARNING BASED ON THE CONVOLUTIONAL PROXIMAL POLICY OPTIMIZATION NETWORK;2021
DEVELOPMENT OF A NEW INTELLIGENT MOBILE ROBOT PATH PLANNING ALGORITHM BASED ON DEEP REINFORCEMENT LEARNING CONSIDERING PEDESTRIAN TRAFFIC RULES;2022
STUDY ON DEEP REINFORCEMENT LEARNING FOR MOBILE ROBOTS FLOCKING CONTROL IN CERTAINTY SITUATIONS;2022
AUTONOMOUS UAV NAVIGATION VIA DEEP REINFORCEMENT LEARNING USING PPO;2022
AN IMPROVEMENT ON MAPLESS NAVIGATION WITH DEEP REINFORCEMENT LEARNING: A REWARD SHAPING APPROACH;2022
DEVELOPMENT OF A WEB-BASED EDUCATION SYSTEM FOR DEEP REINFORCEMENT LEARNING-BASED AUTONOMOUS MOBILE ROBOT NAVIGATION IN REAL WORLD;2020
AUTONOMOUS ROBOT NAVIGATION IN DYNAMIC ENVIRONMENT USING DEEP REINFORCEMENT LEARNING;2019
PATH PLANNING OF MOBILE ROBOT BASED ON DEEP REINFORCEMENT LEARNING WITH TRANSFER LEARNING STRATEGY;2022
TOWARD COMPLETE COVERAGE PLANNING USING DEEP REINFORCEMENT LEARNING BY TRAPEZOID-BASED TRANSFORMABLE ROBOT;2023
HIERARCHICAL MULTI-ROBOT NAVIGATION AND FORMATION IN UNKNOWN ENVIRONMENTS VIA DEEP REINFORCEMENT LEARNING AND DISTRIBUTED OPTIMIZATION;2023
ROBOT NAVIGATION AMONG EXTERNAL AUTONOMOUS AGENTS THROUGH DEEP REINFORCEMENT LEARNING USING GRAPH ATTENTION NETWORK;2020
EFFICIENT SAFE CONTROL VIA DEEP REINFORCEMENT LEARNING AND SUPERVISORY CONTROL Â€“ CASE STUDY ON MULTI-ROBOT WAREHOUSE AUTOMATION;2022
ROBOT PATH PLANNER BASED ON DEEP REINFORCEMENT LEARNING AND THE SEEKER OPTIMIZATION ALGORITHM;2022
INTELLIGENT AUTONOMOUS NAVIGATION OF CAR-LIKE UNMANNED GROUND VEHICLE VIA DEEP REINFORCEMENT LEARNING;2021
PURSUIT-EVASION GAME STRATEGY OF USV BASED ON DEEP REINFORCEMENT LEARNING IN COMPLEX MULTI-OBSTACLE ENVIRONMENT;2023
MRCDRL: MULTI-ROBOT COORDINATION WITH DEEP REINFORCEMENT LEARNING;2020
EVENT-TRIGGERED RECONFIGURABLE REINFORCEMENT LEARNING MOTION-PLANNING APPROACH FOR MOBILE ROBOT IN UNKNOWN DYNAMIC ENVIRONMENTS;2023
